id,site,year
FER1101,KS-TLI,2021
FER1103,KS-TLI,2021
FER1105,KS-TLI,2021
FER1106,KS-TLI,2021
FER1112,KS-TLI,2021
FER1203,KS-TLI,2021
FER1204,KS-TLI,2021
FER1205,KS-TLI,2021
FER1206,KS-TLI,2021
FER1208,KS-TLI,2021
FER1210,KS-TLI,2021
FER1302,KS-TLI,2021
FER1306,KS-TLI,2021
FER1307,KS-TLI,2021
FER1308,KS-TLI,2021
FER1310,KS-TLI,2021
FER1311,KS-TLI,2021
FER1404,KS-TLI,2021
FER1405,KS-TLI,2021
FER1406,KS-TLI,2021
FER1409,KS-TLI,2021
FER1411,KS-TLI,2021
FER1412,KS-TLI,2021
FER1101,KS-TLI,2022
FER1103,KS-TLI,2022
FER1105,KS-TLI,2022
FER1106,KS-TLI,2022
FER1109,KS-TLI,2022
FER1112,KS-TLI,2022
FER1203,KS-TLI,2022
FER1204,KS-TLI,2022
FER1205,KS-TLI,2022
FER1206,KS-TLI,2022
FER1208,KS-TLI,2022
FER1210,KS-TLI,2022
FER1302,KS-TLI,2022
FER1306,KS-TLI,2022
FER1307,KS-TLI,2022
FER1308,KS-TLI,2022
FER1310,KS-TLI,2022
FER1311,KS-TLI,2022
FER1404,KS-TLI,2022
FER1405,KS-TLI,2022
FER1406,KS-TLI,2022
FER1409,KS-TLI,2022
FER1411,KS-TLI,2022
FER1412,KS-TLI,2022
FER2+A49:A69101,MN-ROS,2021
FER2103,MN-ROS,2021
FER2105,MN-ROS,2021
FER2106,MN-ROS,2021
FER2109,MN-ROS,2021
FER2112,MN-ROS,2021
FER2203,MN-ROS,2021
FER2204,MN-ROS,2021
FER2205,MN-ROS,2021
FER2206,MN-ROS,2021
FER2208,MN-ROS,2021
FER2210,MN-ROS,2021
FER2302,MN-ROS,2021
FER2306,MN-ROS,2021
FER2307,MN-ROS,2021
FER2308,MN-ROS,2021
FER2310,MN-ROS,2021
FER2311,MN-ROS,2021
FER2404,MN-ROS,2021
FER2405,MN-ROS,2021
FER2406,MN-ROS,2021
FER2409,MN-ROS,2021
FER2411,MN-ROS,2021
FER2412,MN-ROS,2021
FER2101,MN-ROS,2022
FER2103,MN-ROS,2022
FER2105,MN-ROS,2022
FER2106,MN-ROS,2022
FER2109,MN-ROS,2022
FER2112,MN-ROS,2022
FER2203,MN-ROS,2022
FER2204,MN-ROS,2022
FER2205,MN-ROS,2022
FER2206,MN-ROS,2022
FER2208,MN-ROS,2022
FER2210,MN-ROS,2022
FER2302,MN-ROS,2022
FER2306,MN-ROS,2022
FER2307,MN-ROS,2022
FER2308,MN-ROS,2022
FER2310,MN-ROS,2022
FER2311,MN-ROS,2022
FER2404,MN-ROS,2022
FER2405,MN-ROS,2022
FER2406,MN-ROS,2022
FER2409,MN-ROS,2022
FER2411,MN-ROS,2022
FER2412,MN-ROS,2022
FER4101,OH,2021
FER4105,OH,2021
FER4106,OH,2021
FER4107,OH,2021
FER4108,OH,2021
FER4112,OH,2021
FER4201,OH,2021
FER4203,OH,2021
FER4204,OH,2021
FER4206,OH,2021
FER4210,OH,2021
FER4212,OH,2021
FER4302,OH,2021
FER4309,OH,2021
FER4310,OH,2021
FER4311,OH,2021
FER4312,OH,2021
FER4402,OH,2021
FER4403,OH,2021
FER4406,OH,2021
FER4410,OH,2021
FER4411,OH,2021
FER4412,OH,2021
FER4101,OH,2022
FER4105,OH,2022
FER4106,OH,2022
FER4107,OH,2022
FER4108,OH,2022
FER4112,OH,2022
FER4201,OH,2022
FER4203,OH,2022
FER4204,OH,2022
FER4206,OH,2022
FER4210,OH,2022
FER4212,OH,2022
FER4302,OH,2022
FER4304,OH,2022
FER4309,OH,2022
FER4310,OH,2022
FER4311,OH,2022
FER4312,OH,2022
FER4402,OH,2022
FER4403,OH,2022
FER4406,OH,2022
FER4410,OH,2022
FER4411,OH,2022
FER4412,OH,2022
FER6101,WI-UW,2021
FER6102,WI-UW,2021
FER6108,WI-UW,2021
FER6110,WI-UW,2021
FER6111,WI-UW,2021
FER6112,WI-UW,2021
FER6202,WI-UW,2021
FER6203,WI-UW,2021
FER6208,WI-UW,2021
FER6209,WI-UW,2021
FER6211,WI-UW,2021
FER6212,WI-UW,2021
FER6302,WI-UW,2021
FER6304,WI-UW,2021
FER6305,WI-UW,2021
FER6307,WI-UW,2021
FER6308,WI-UW,2021
FER6312,WI-UW,2021
FER6401,WI-UW,2021
FER6402,WI-UW,2021
FER6408,WI-UW,2021
FER6409,WI-UW,2021
FER6411,WI-UW,2021
FER6412,WI-UW,2021
FER3102,NE,2021
FER3104,NE,2021
FER3106,NE,2021
FER3107,NE,2021
FER3110,NE,2021
FER3111,NE,2021
FER3202,NE,2021
FER3205,NE,2021
FER3206,NE,2021
FER3208,NE,2021
FER3211,NE,2021
FER3212,NE,2021
FER3301,NE,2021
FER3303,NE,2021
FER3304,NE,2021
FER3305,NE,2021
FER3307,NE,2021
FER3309,NE,2021
FER3403,NE,2021
FER3406,NE,2021
FER3407,NE,2021
FER3408,NE,2021
FER3412,NE,2021
FER3102,NE,2022
FER3104,NE,2022
FER3106,NE,2022
FER3107,NE,2022
FER3110,NE,2022
FER3111,NE,2022
FER3202,NE,2022
FER3205,NE,2022
FER3206,NE,2022
FER3208,NE,2022
FER3211,NE,2022
FER3212,NE,2022
FER3301,NE,2022
FER3303,NE,2022
FER3304,NE,2022
FER3305,NE,2022
FER3307,NE,2022
FER3309,NE,2022
FER3401,NE,2022
FER3403,NE,2022
FER3406,NE,2022
FER3407,NE,2022
FER3408,NE,2022
FER3412,NE,2022
FER5101,WI-MFAI,2021
FER5104,WI-MFAI,2021
FER5106,WI-MFAI,2021
FER5108,WI-MFAI,2021
FER5109,WI-MFAI,2021
FER5112,WI-MFAI,2021
FER5202,WI-MFAI,2021
FER5203,WI-MFAI,2021
FER5205,WI-MFAI,2021
FER5206,WI-MFAI,2021
FER5211,WI-MFAI,2021
FER5212,WI-MFAI,2021
FER5303,WI-MFAI,2021
FER5304,WI-MFAI,2021
FER5306,WI-MFAI,2021
FER5307,WI-MFAI,2021
FER5310,WI-MFAI,2021
FER5311,WI-MFAI,2021
FER5401,WI-MFAI,2021
FER5405,WI-MFAI,2021
FER5407,WI-MFAI,2021
FER5409,WI-MFAI,2021
FER5411,WI-MFAI,2021
FER5412,WI-MFAI,2021
FER5101,WI-MFAI,2022
FER5104,WI-MFAI,2022
FER5106,WI-MFAI,2022
FER5108,WI-MFAI,2022
FER5109,WI-MFAI,2022
FER5112,WI-MFAI,2022
FER5202,WI-MFAI,2022
FER5203,WI-MFAI,2022
FER5205,WI-MFAI,2022
FER5206,WI-MFAI,2022
FER5211,WI-MFAI,2022
FER5212,WI-MFAI,2022
FER5303,WI-MFAI,2022
FER5304,WI-MFAI,2022
FER5306,WI-MFAI,2022
FER5307,WI-MFAI,2022
FER5310,WI-MFAI,2022
FER5311,WI-MFAI,2022
FER5401,WI-MFAI,2022
FER5402,WI-MFAI,2022
FER5405,WI-MFAI,2022
FER5407,WI-MFAI,2022
FER5410,WI-MFAI,2022
FER5412,WI-MFAI,2022
